"BLUP","Genotype"
3.48951657040183,"ar18_381044"
3.4855203863036,"lg09_8556"
3.48333297749587,"lg06_2284"
3.48287059128935,"ln93_5265"
3.48126773047706,"ln93_11945"
3.48022548743781,"c1846"
3.47470374985315,"u14_909100"
3.47123261942627,"c1838"
3.47052388846182,"a97_770051"
3.45825624259866,"u14_914093"
3.45542562163668,"u93_2412"
3.4540588298534,"u97_3229"
3.45318279548635,"hs95_4830"
3.44962659798409,"a96_692057"
3.44476765235745,"ln91_1733"
3.43781850696244,"c2011"
3.43644413621249,"ld10_9409"
3.43277527280651,"e16380"
3.43048871184532,"ln97_14868"
3.41696880447065,"u00_320276"
3.41609843654412,"e17069"
3.41068590142843,"hc87_5844"
3.3998763701642,"a07_626010"
3.39635298392358,"a99_218032"
3.39364530360304,"a92_726034"
3.39142182951491,"u14_919098"
3.38846140352357,"e15351"
3.38798314803335,"u03_400435"
3.38341536940272,"cl05_3039"
3.37876063244423,"ln91_675"
3.37756943935951,"a06_911002"
3.37456917855135,"ln90_3336"
3.34895971464521,"a94_774063"
3.34805713979481,"u11_410122"
3.34792222886784,"u11_919011"
3.34759057451672,"c1876"
3.34609978949975,"hc85_607"
3.3429128068824,"hobbit87"
3.34006469800116,"u05_738004"
3.33836780468058,"a03_942026"
3.33533075944566,"a04_543043"
3.33340290784277,"a99_218033"
3.33304525908844,"ln93_11586"
3.31801540160674,"hs89_2943"
3.30318905114244,"u14_216260"
3.30248315261716,"a02_237002"
3.29683209070328,"k1226"
3.29586906526585,"ls04_39033"
3.28296724850439,"u99_045080"
3.27620081788342,"u93_3122"
3.25611540008166,"lg13_1006"
3.25012002424479,"k1405"
3.25007004320352,"a00_912028"
3.25001669088245,"ld11_1882"
3.24505509132031,"ld01_5907"
3.24267344147089,"cl04_13234"
3.23827202011433,"a92_627035"
3.23364363523799,"k1549"
3.23213428822172,"k1407"
3.23022995088495,"u96_2236"
3.22960778329106,"u91_3516"
3.2229379789282,"k13_1519"
3.2226063460482,"a98_884009"
3.21900487173692,"hs88_4914"
3.2153399680809,"ss95_1000"
3.21038342443106,"u13_602187"
3.20655381838311,"u96_3413"
3.19425223926946,"am90_311011"
3.19156310214847,"hc85_618"
3.18880610822042,"u95_3213"
3.18683830407935,"macon"
3.18182995749033,"u14_915126"
3.18052415164646,"u98_307735"
3.18015645001074,"e08058"
3.17686339646195,"u95_3135"
3.17445415348605,"u16_928123"
3.17393463959761,"cl05_202522"
3.16354923214628,"u17_920124"
3.16253841562337,"u98_201913"
3.16163727411666,"u13_613037"
3.14801449447357,"k08_6247"
3.14769737698652,"sa13_2699"
3.14629141808637,"sa14_9653"
3.14242494007145,"u02_341446"
3.14173646520568,"u01_310412"
3.13849650299906,"c1835"
3.13710619370379,"a04_544031"
3.13555981158876,"a99_314040"
3.13310474945757,"u91_3133"
3.1319069930705,"hc85_1848"
3.12623572068402,"hc85_6611"
3.11724694748784,"e99246"
3.1168871126285,"hs88_4908"
3.1160058598745,"cr16_0033"
3.11426853369776,"u94_2529"
3.11352876522692,"flyer"
3.10876405484049,"lg01_4762"
3.10623413606005,"k1402"
3.10207090889264,"u93_3116"
3.09978816744115,"a06_912033"
3.09960117817534,"a03_946005"
3.09875048163744,"ar12_328080"
3.09850532399852,"k07_1544"
3.09731693886329,"ar15_359028"
3.09721511890573,"hc89_2232"
3.09567935217609,"u11_920017"
3.09353216294132,"c1833"
3.08823687470214,"cr14_5524"
3.07997001701296,"u99_006063"
3.07873995442133,"k1205"
3.07740842070931,"ia4004"
3.07701851583547,"u09_407151"
3.07554642691823,"u90_3301"
3.07191204617548,"ia2101"
3.06710801780369,"ld04_13193"
3.0660886497082,"hc99_4826"
3.06126979600234,"a97_871077"
3.05990427012569,"u90_2226"
3.05681078107626,"a07_527045"
3.05355526937368,"resnik"
3.05032552273524,"lg97_9301"
3.04854618288287,"u16_934075"
3.04816915761878,"u06_830260r"
3.04805538809364,"dsn11_03174"
3.04738305345367,"u93_3420"
3.04497654117025,"u13_235283"
3.04497654117024,"u14_926130"
